Client Name,Count of PRIMARY_FAC_ID,Facility Name,Emission Amount(In Tons),Facility Type,Latitude,Longitude
GANS ENERGY LLC,1,GANS ENERGY LLC/GANS POWER STA,93145.403,AEP - Air Emission Plant,39.747518,-79.838772
WEST SALISBURY FOUNDRY & MACH CO INC,1,WEST SALISBURY FOUND/WEST SALISBURY PLT,66.7813,AEP - Air Emission Plant,39.754017,-79.096074
CUMBERLAND CONTURA LLC,1,CUMBERLAND CONTURA LLC/CUMBERLAND MINE,801.353,AEP - Air Emission Plant,39.794726,-80.162555
CARLISLE SYNTEC DIV CARLISLE CONST MATERIALS LLC,1,CARLISLE CONST MATLS/HUNTER PANEL PLT,1196.3,AEP - Air Emission Plant,39.804167,-79.779167
EQT PROD CO,1,EQT PROD CO / PLHC WELLPAD,262.7518,AEP - Air Emission Plant,39.836389,-80.277411
RICE DRILLING B LLC,1,RICE DRILLING B LLC / THROCKMORTON WELLPAD,859.7156,AEP - Air Emission Plant,39.838105,-80.220603
DYNEGY FAYETTE II LLC,1,FAYETTE ENERGY CENTER/MASONTOWN,1954311.21,AEP - Air Emission Plant,39.857408,-79.913878
DOMINION ENERGY TRANS INC,1,DOMINION ENERGY TRANS INC/NORTH SUMMIT,6466.343,AEP - Air Emission Plant,39.859276,-79.6526
TEXAS EASTERN TRANS LP,1,TEXAS EASTERN TRANS LP/HOLBROOK STA,254.7303,AEP - Air Emission Plant,39.89016,-80.452156
ADVANCED DSPL SVC CHESTNUT VALLEY LDFL INC,1,ADVANCED DISPOSAL SVC CHESTNUT VALLEY LDFL INC/GERMAN TWP,20354.08,AEP - Air Emission Plant,39.896068,-79.801062
DOMINION ENERGY TRANS INC,1,DOMINION ENERGY TRANS INC/CRAYNE STA,40331.9504,AEP - Air Emission Plant,39.918889,-80.123889
TEXAS EASTERN TRANS LP,1,TEXAS EASTERN TRANS LP/WAYNESBURG STA,22502.9411,AEP - Air Emission Plant,39.919508,-80.124998
TEXAS EASTERN TRANS LP,1,TEXAS EASTERN TRANS LP/UNIONTOWN STA,28337.9451,AEP - Air Emission Plant,39.93111,-79.67
MOSTOLLER LDFL INC,1,MOSTOLLER LDFL INC/MOSTOLLER MUNICIPAL WASTE LDFL,11545.67,AEP - Air Emission Plant,39.971994,-78.989958
CONSOL PA COAL CO LLC,1,CONSOL PA COAL CO LLC/BAILEY PREP PLT,518.47,AEP - Air Emission Plant,39.972856,-80.41215
CROWN CORK & SEAL CO USA INC,1,CROWN CORK & SEAL CO/SOUTH CONNELLSVILLE,5367.002,AEP - Air Emission Plant,39.983639,-79.577717
FAYETTE THERMAL LLC,1,FAYETTE THERMAL/E MILLSBORO STEAM PLT,19440.4394,AEP - Air Emission Plant,39.992222,-79.988056
PEOPLES NATURAL GAS CO LLC,1,PEOPLES NATURAL GAS CO/CREIGHTON COMP STA,6056.3723,AEP - Air Emission Plant,40.000278,-79.999722
PA DEPT OF CORR,1,PA DEPT OF CORR/LAUREL HIGHLANDS SCI,27307.5594,AEP - Air Emission Plant,40.005894,-79.040712
MATTHEWS INTL CORP,1,MATTHEWS INTL BRONZE DIV/PGH,1074.1117,AEP - Air Emission Plant,40.05,-80.033333
PVS STEEL SVC INC,1,PVS STEEL SVC INC/ALLENPORT PLT,11430.7287,AEP - Air Emission Plant,40.079697,-79.87408
RICE DRILLING B LLC,1,RICE DRILLING/ MOJO PAD/ CONSTRUCTION MODIFICATON NOV,3157.4689,AEP - Air Emission Plant,40.088036,-80.212354
DURALOY TECH INC,1,DURALOY TECHNOLOGIES/SCOTTDALE,4462.093,AEP - Air Emission Plant,40.099066,-79.586344
SUMMERILL HIGH PRECISION TUBE LLC,1,SUMMERILL HIGH PRECISION TUBE LLC/SCOTTDALE PLT,532.1,AEP - Air Emission Plant,40.107236,-79.584063
SHADE LDFL INC,1,SHADE LDFL INC/SHADE LDFL,9272.2711,AEP - Air Emission Plant,40.121492,-78.800715
GREENRIDGE RECLAMATION LLC,1,GREENRIDGE RECLAMATION LLC/E HUNTINGDON,38736.32,AEP - Air Emission Plant,40.129722,-79.5825
CK COMPOSITES CO LLC,1,CK COMPOSITES CO LLC/MT PLEASANT,755.71,AEP - Air Emission Plant,40.129948,-79.534064
CORELLE BRANDS LLC,1,CORELLE BRANDS LLC/CHARLEROI PLT,29314.1975,AEP - Air Emission Plant,40.138376,-79.895649
WESTMORELAND SANI LDFL LLC,1,WESTMORELAND SANITARY LDFL LLC,26586.676,AEP - Air Emission Plant,40.143493,-79.856592
PEOPLES NATURAL GAS CO LLC,1,PEOPLES NATURAL GAS CO LLC/GIBSON STA,377.1908,AEP - Air Emission Plant,40.144232,-79.963876
ARCELORMITTAL MONESSEN LLC,1,ARCELORMITTAL MONESSEN LLC/MONESSEN COKE PLT,142744.6,AEP - Air Emission Plant,40.161411,-79.883417
JESSOP STEEL LLC,1,JESSOP STEEL LLC/WASHINGTON PLT,39525.3545,AEP - Air Emission Plant,40.173083,-80.274426
TENASKA PA PARTNERS LLC,1,TENASKA PA PARTNERS/WESTMORELAND GEN FAC,232121.2259,AEP - Air Emission Plant,40.176389,-79.693889
FLEXSYS AMER LP,1,FLEXSYS AMER LTD PAR/MONONGAHELA,13320.509,AEP - Air Emission Plant,40.180821,-79.925499
DNP IMAGINGCOMM AMER CORP,1,DNP IMS AMER/SONY TECH CTR NEW STANTON,0.0003,AEP - Air Emission Plant,40.186761,-79.57454
DYNO NOBEL INC,1,DYNO NOBEL INC/DONORA,454.159,AEP - Air Emission Plant,40.186992,-79.854923
NORTH AMER HOGANAS INC,1,NORTH AMERICAN HOGANAS INC/STONY CREEK PLT,33572.9,AEP - Air Emission Plant,40.191976,-78.934697
"THERM O ROCK EAST, INC",1,THERM O ROCK INC/NEW EAGLE PLT,1974.3175,AEP - Air Emission Plant,40.206474,-79.942484
ARDEN LDFL INC,1,ARDEN LDFL/CHARTIERS TWP,62282.278,AEP - Air Emission Plant,40.208429,-80.264767
POWEREX INC,1,POWEREX INC/YOUNGWOOD,41.4856,AEP - Air Emission Plant,40.233967,-79.567086
SOUTHERN ALLEGHENIES LDFL INC,1,SOUTHERN ALLEGHENY L/SOUTHERN ALLEGHENIES LDFL,17904.35,AEP - Air Emission Plant,40.236386,-78.900002
BRIDGESTONE AMER INC,1,FIRESTONE BLDG PROD CO/YOUNGWOOD PLT,1278.7824,AEP - Air Emission Plant,40.243047,-79.572772
KELLY RUN SANI INC,1,KELLY RUN SANI/MSW LDFL,24623.25,AEP - Air Emission Plant,40.253333,-79.871389
EQUITRANS LP,1,EQUITRANS LP/HARTSON,10388.7609,AEP - Air Emission Plant,40.255636,-79.961087
EASTMAN CHEM CO,1,EASTMAN CHEM RESINS INC/JEFFERSON SITE,32618.5336,AEP - Air Emission Plant,40.266316,-79.90245
GREENSBURG THERMAL LLC,1,GREENSBURG THERMAL LLC/GREENSBURG THERMAL LLC,224.4908,AEP - Air Emission Plant,40.269772,-79.562847
USA SOUTH HILLS LDFL INC,1,USA SOUTH HILLS LDFL/ UNION TWP,24668.34,AEP - Air Emission Plant,40.269951,-79.98854
ST VINCENT COLL,1,ST VINCENT COLL/LATROBE CAMPUS,3601.3351,AEP - Air Emission Plant,40.29479,-79.396387
DLP CONEMAUGH MEM MED CTR LLC DBA CONEMAUGH MEM MED CTR,1,CONEMAUGH MEM MED CTR/JOHNSTOWN,11568.9864,AEP - Air Emission Plant,40.296729,-78.918687
DOMINION ENERGY TRANS INC,1,DOMINION ENERGY TRANS INC/LINCOLN HEIGHTS,755.88,AEP - Air Emission Plant,40.300369,-79.619336
LATROBE SPECIALTY METALS A CARPENTER CO,1,LATROBE SPECIALTY METALS/ A CARPENTER CO,84585.4822,AEP - Air Emission Plant,40.303618,-79.370528
US STEEL DIV OF USS CORP,1,USS/CLAIRTON WORKS,823022.6662,AEP - Air Emission Plant,40.305088,-79.876911
KOPPERS INC,1,KOPPERS INC/CLAIRTON PLT,954.2372,AEP - Air Emission Plant,40.306794,-79.882844
GUTCHESS HARDWOODS INC,1,GUTCHESS HARDWOODS INC/LATROBE PLT,12.17,AEP - Air Emission Plant,40.307382,-79.394913
LEHIGH SPECIALTY MELTING INC,1,LEHIGH SPECIALTY MELTING/LATROBE,6679.9555,AEP - Air Emission Plant,40.307632,-79.380551
SETON HILL UNIV,1,SETON HILL UNIVERSITY/GREENSBURG CAMPUS,2737.9758,AEP - Air Emission Plant,40.310436,-79.55841
OPCO INC,1,OPCO INC/LATROBE,561.3398,AEP - Air Emission Plant,40.311389,-79.378333
